Compound;m/z;Charge;Retention time (min);CCS (angstrom^2);Chromatographic peak width (min);Identifications;Anova (p);q Value;Max Fold Change;Highest Mean;Lowest Mean;Isotope Distribution;Maximum Abundance;Minimum CV%;16.0257_P001_01 [1];16.0257_P002_01 [1];16.0257_P004 [1];16.0269_P004 [1];16.0269_P005 [1];16.0269_P006 [1];17.0421_P001 [1];17.0421_P002 [1];17.0421_P003 [1];17.0421_P004 [1];17.0421_P005 [1];17.0421_P006 [1];17.0421_P007 [1];17.0421_P008_02 [1];ts1512_171_B [1];ts1605_382_P003_E001 [1];ts1605_382_P004_E001 [1];ts1707_313_P002_E008 [1];ts1707_313_P002_E001 [1];16.0043_P003 [1];16.0043_P011 [1];16.0230_P014 [1];16.0230_P015 [1];16.0259_P001 [1];16.0280_P002 [1];16.0334_P001 [1];16.0352_P001 [1];16.0352_P002 [1];16.0394_P001 [1];16.0394_P003 [1];16.0394_P004 [1];16.0394_P006 [1];16.0394_P016 [1];16.0412_P004 [1];16.0412_P005 [1];16.0436_P003 [1];16.0436_P004 [1];20180607_Blank_1 [1];20180607_Blank_2 [1];20180607_Blank_3 [1];20180607_Blank_4 [1];20180607_Blank_5 [1];20180607_Blank_6 [1];Blank 1 [1];Blank 2 [1];Blank 3 [1];Blank 4 [1];Blank 5 [1];Blank 6 [1];Blank 7 [1];Blank 8 [1];Blank 9 [1];Blank 10 [1];Blank 11 [1];Blank b1 [1];Blank b2 [1];Blank b3 [1];Blank b4 [1];Blank b5 [1];Blank b6 [1];Blank b7 [1];Blank b8 [1];Blank b9 [1];Blank b10 [1];Blank b11 [1];Blank b12 [1];Blank b13 [1];Blank b14 [1];Blank b15 [1];Blank b16 [1];16.0187_P001 [1];16.0187_P008 [1];16.0269_P002 [1];16.0269_P003 [1];16.0437_P002_01 [1];16.0455_P002_5ug_mL [1];17.0315_P005_5ug_mL [1];17.0477_P003_5ug_mL [1];17.03150_P001_5ug_mL [1];ts1512_170_P008_E001 [1];ts1603_373_P001_E001 [1];ts1605_141_P002_E001 [1];ts1605_406_P002_02_E001 [1];ts1609_167_P004_E001 [1];ts1610_343_P003_E001_50ug_mL [1];ts1610_343_P004_E001_50ug_mL [1];ts1611_309_P001_E001 [1];ts1707_313_P001_E001 [1]
11.37_587.4542m/z;587.4541693;1;11.37098333;234.9963152;0.033433333;0;0.001981495;0.000352949;Infinity;Cocaine;Heroin;100 - 1.43;0.884355297;245.65;0;0;0;0;0;0;0;8.877364402;2.447438794;2.802352085;2.675595365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.082392932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.61_496.3801m/z;496.3801033;1;11.60508333;220.8073037;0.025083333;0;0.001998181;0.000355789;Infinity;Cocaine;Heroin;100 - 6.08;1.342290686;206.28;0;0;0;0;0;0;0;4.096124329;6.437858131;8.476840431;6.492700135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.266101199;0;0.153769993;0.071014073;0;0.009352763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.195883666;0;0;0;0;0;0;0;0;0;0;0.329689251;0.193780608;0;0
13.14_421.3477m/z;421.3476699;1;13.14105;214.8784828;0.033416667;0;0.00199901;0.000355805;98.39728722;Cocaine;Heroin;100 - 43.4;1.330968277;199.78;0.067000381;0;0;0;0;0;0;5.875898258;4.689323307;7.307541021;7.138569093;0;0;0;0.210065197;0;0;0;0;0;0;0;0;0;0;0.180556736;0.061171782;0;0;0;0;0;0.001748001;0;0;0;0;0;0;0.386896993;0.178253981;0;0;0;0;0.239901677;0;0;0;0.208828515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.049887385;0;0.453901353;0;0;0;0;0;0;0;0.390843382;0;0;0;0;0;0;0.025906637;0.11464092;0
12.57_642.4779m/z;642.4778689;1;12.57381667;252.7517193;0.1842;0;0.002002353;0.000356268;11.91623142;Cocaine;Heroin;100 - 26.4;150.9158734;23.47;18.53027944;16.16800138;11.31452291;14.3234024;14.4457162;14.3121056;15.32985408;941.6129772;542.5905747;571.1255628;599.8923964;7.767986047;11.82302951;7.720647796;12.38522735;19.56496684;22.10719053;11.8626982;14.52445601;15.17953924;19.83640657;11.30208043;12.44947089;14.2256566;21.07967545;22.24909675;14.97480506;15.56847441;16.50805;3.280414051;6.961130638;2.151133269;7.178949599;7.574079921;12.14588208;10.58822194;14.71210322;9.414161782;10.37426126;7.601190678;9.107163194;12.77377854;12.70030398;8.722625494;16.86494666;14.62766224;18.79422851;14.3160545;19.34574749;20.20220759;21.99431151;18.93253034;15.1623928;20.70888308;6.005032823;2.031900722;7.836681776;5.558331982;6.293374022;14.19598951;13.52111516;10.71119898;19.39398972;15.4988978;18.41726917;13.88850681;19.1023435;17.90329643;22.08704046;19.9256357;14.80407386;14.30336593;16.12555638;12.94733223;19.25133037;11.57067202;10.6282325;14.04967331;9.823098296;13.83253636;17.00802351;14.54536557;15.8735299;20.49701114;8.70156492;15.5753504;16.47115357;21.78686895
12.26_485.3856m/z;485.385618;1;12.25615;227.1897312;0.117033333;0;0.002007553;0.000357061;220.4568042;Cocaine;NPS;100 - 8.62;11.4530573;226.71;0.170947172;0.241795119;0;0;0.178550495;0.06001371;0.252177407;0;1.527413754;0;0;81.861516;63.32813416;62.05985056;0.060936263;0;0;7.866754078;0;0;0;0;0;0;0;0;0;0;0;1.743678166;0.585665292;1.688124277;0;0;0;0;0;0;0.001040837;0;0;0;0;0.191547794;0;0.424248424;0;0;0.312343313;0;0;0;0;0;0.95747003;0.391292264;1.250073443;0;0;0;0.554125972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.284703794;0.386758312;0;0;0;0.263664539;0
12.46_902.6987m/z;902.6986738;1;12.4568;331.9556775;0.016733333;0;0.002010694;0.000357487;24.4155406;NPS;Cocaine;100 - 42.5;5.99737317;116.04;0.2481582;0.013893024;0.14849525;0;0.30076509;3.099558317;0;0;0;0;0;0;0;0;0;0.02986487;0;0.585202793;0.241175592;1.770093592;1.201197997;2.762446501;4.552813452;6.464794448;6.414514056;12.54007374;8.570865435;7.12234637;2.131186602;0.002104135;0;0.4836061;0;0.384720159;0.947137576;1.286216161;0;0.418782888;0.126032565;1.267172678;0;0.049239576;0.142153061;0.388299489;0.823446476;4.676958243;5.900017241;14.96567945;21.98702017;24.40435931;22.00078134;10.2959964;3.630362333;2.054448451;0.657834141;0.494291292;0.452140187;0.225362182;0;0.001560476;0.171219174;0.686695768;0.444214316;1.482148075;1.617354273;3.836372239;5.325489545;9.967525592;15.37768676;4.741189058;1.387111621;10.37293012;16.3950329;0.247454103;22.67068599;0;0.177048887;0.352983804;0;3.312730648;22.88062599;2.496793593;16.76009951;0;0.036438096;0.02773838;0;10.83504343
12.78_926.7939m/z;926.7938748;1;12.78311667;348.6030722;0.050133333;0;0.002012874;0.000357653;4.87823709;Heroin;NPS;100 - 8.61;5.148134444;80.24;4.317494517;1.875801591;3.876884705;1.78222736;2.799905782;4.482151002;4.120402793;0;0;0;0;0;0;0.592034137;0;2.737257528;1.741535198;2.332816051;5.234889366;0.468731455;2.688558707;2.836669042;2.837307883;6.035694374;10.35520288;8.094561774;11.17468133;9.756587832;8.734256349;0;2.189979787;0;3.621266729;4.358903333;13.04247556;5.482180494;0.989362468;0;0;0.484476634;0;0;0;0.948310531;1.31822561;0;1.209101176;0.36898272;0.619069672;2.671949003;3.335593965;2.867883897;2.774486072;3.570057975;0;1.460267453;3.49985456;2.858766336;4.550622947;2.673249138;1.744650375;0.831316269;1.576884613;2.409881462;2.732111342;3.274246937;7.542170386;10.23441031;18.81404401;14.97005244;1.283539084;1.029035789;1.193838481;0;0.310772467;0;0.298399541;0;0;0.263682135;1.483031794;3.695379833;1.926698184;3.297479755;0;0;0.499522828;3.714502901
8.34_261.1092m/z;261.1092191;1;8.340366667;155.3291391;0.526666667;0;0.002013121;0.000357653;119.9915979;NPS;Cocaine;100 - 7.66;11.53017747;21.05;0;0;0;0;0.230728228;0;0.041497881;0.047919822;0.00039413;0.041631038;0.032987628;0;0.195620662;0;0.999899049;0;0.088445087;0.100340241;0.046275503;2.003869276;1.518713384;1.360078577;1.529171084;1.319837719;1.360570037;2.118047291;1.632387876;1.860798052;2.233864384;1.408401822;1.070839537;1.484207143;1.232810327;1.332182385;1.187051606;1.414831433;1.54688232;32.55646714;38.21969016;37.23343364;33.41249138;38.53730734;36.87852867;0.215693829;0;0.109153979;0.099842864;0.076696751;0.141432138;0.031737679;0.206076712;0.226837156;0.029790993;0;1.391123571;2.016370638;1.855480299;1.563130747;1.841526314;2.258167712;2.166164698;1.843724689;2.388997029;1.996679639;1.711385458;1.939000942;1.691365991;2.409347697;2.956648727;2.398350414;0;0.069430182;0.047497806;0;0;32.17915032;34.67054899;33.98742462;35.20327657;0;0;0;0;0;34.29495121;37.09091477;0;0
12.60_791.6927m/z;791.6927302;1;12.59893333;312.5843176;0.058533333;0;0.002015641;0.000357969;121.5271191;Cocaine;NPS;100;1.555110579;241.63;0;0;0.667168089;0.378021143;0.53930298;3.483027904;0;0;0;0;0;0;0;0;0;13.31125752;10.45903818;0.709285184;0;0;0;0;0;0;0;0.343760402;0;0;1.10781669;0;0;0;0;0.413173016;0.027112587;0;0.085257358;0;0;0;0;0;0;0.260192878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012878996;0;0.380759782;0.005171186;0;0;0;0;0.182025769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.230335341;0
13.22_766.5321m/z;766.5321101;1;13.2163;280.9356748;0.025066667;0;0.002019259;0.000358479;Infinity;Cocaine;NPS;100 - 19.6;1.658256973;215.71;0;0;0;0;0;0;0;2.664550405;8.441716263;8.950295008;11.13532092;0;0;0;0;0;0;0.31499989;0;0;0;0;0;0;0;0.480076265;0.631678511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.531191123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
