Compound;m/z;Charge;Retention time (min);CCS (angstrom^2);Chromatographic peak width (min);Identifications;Anova (p);q Value;Max Fold Change;Highest Mean;Lowest Mean;Isotope Distribution;Maximum Abundance;Minimum CV%;16.0257_P001_01 [1];16.0257_P002_01 [1];16.0257_P004 [1];16.0269_P004 [1];16.0269_P005 [1];16.0269_P006 [1];17.0421_P001 [1];17.0421_P002 [1];17.0421_P003 [1];17.0421_P004 [1];17.0421_P005 [1];17.0421_P006 [1];17.0421_P007 [1];17.0421_P008_02 [1];ts1512_171_B [1];ts1605_382_P003_E001 [1];ts1605_382_P004_E001 [1];ts1707_313_P002_E008 [1];ts1707_313_P002_E001 [1];16.0043_P003 [1];16.0043_P011 [1];16.0230_P014 [1];16.0230_P015 [1];16.0259_P001 [1];16.0280_P002 [1];16.0334_P001 [1];16.0352_P001 [1];16.0352_P002 [1];16.0394_P001 [1];16.0394_P003 [1];16.0394_P004 [1];16.0394_P006 [1];16.0394_P016 [1];16.0412_P004 [1];16.0412_P005 [1];16.0436_P003 [1];16.0436_P004 [1];20180607_Blank_1 [1];20180607_Blank_2 [1];20180607_Blank_3 [1];20180607_Blank_4 [1];20180607_Blank_5 [1];20180607_Blank_6 [1];Blank 1 [1];Blank 2 [1];Blank 3 [1];Blank 4 [1];Blank 5 [1];Blank 6 [1];Blank 7 [1];Blank 8 [1];Blank 9 [1];Blank 10 [1];Blank 11 [1];Blank b1 [1];Blank b2 [1];Blank b3 [1];Blank b4 [1];Blank b5 [1];Blank b6 [1];Blank b7 [1];Blank b8 [1];Blank b9 [1];Blank b10 [1];Blank b11 [1];Blank b12 [1];Blank b13 [1];Blank b14 [1];Blank b15 [1];Blank b16 [1];16.0187_P001 [1];16.0187_P008 [1];16.0269_P002 [1];16.0269_P003 [1];16.0437_P002_01 [1];16.0455_P002_5ug_mL [1];17.0315_P005_5ug_mL [1];17.0477_P003_5ug_mL [1];17.03150_P001_5ug_mL [1];ts1512_170_P008_E001 [1];ts1603_373_P001_E001 [1];ts1605_141_P002_E001 [1];ts1605_406_P002_02_E001 [1];ts1609_167_P004_E001 [1];ts1610_343_P003_E001_50ug_mL [1];ts1610_343_P004_E001_50ug_mL [1];ts1611_309_P001_E001 [1];ts1707_313_P001_E001 [1]
12.16_636.2978n;637.3051187;1;12.15581667;259.3151998;0.133733333;0;0;0;Infinity;Cocaine;Heroin;100 - 25.1;2542.479502;68.66;3654.134614;4301.298232;2917.597857;3233.667794;3898.052816;3639.359757;4292.803794;0;0;0;0;1471.862391;2280.795709;2612.125776;3.11162111;4637.379135;4535.183669;2967.585363;3862.152013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.919647131;1.422576973;0.592642795;0;0;0.520260788;0;0;0;0;0;0;0;0.215653381;0.307250977;0;0;0;0;0;0;0;0;0;0;0;0.309277746;0;0;0;0;0;0;0;0;0;0.491046177;0.285935492;1.576180334;1.158597696;0;0.669351465;0;0;0.693203849;0.861062846;0;0.255524075;0.147955873;0;0.466053569
12.89_175.0154m/z;175.0154004;1;12.8918;136.4045009;0.684233333;0;0;0;Infinity;Heroin;NPS;100 - 3.38;2286.380742;23.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.250533202;0;0;0;0;2227.163817;2152.83211;3550.753991;2174.920513;2432.786266;2680.605741;2500.494674;2732.431276;2895.583217;3016.597686;1351.477103;1654.952533;1786.104776;1832.864022;1886.357504;1927.215462;2179.135838;2172.576824;0;0;0;0;0.392015993;0.314241217;0.085560521;0;0;0;0;0;0;0;0;0;0;1565.199196;1722.688638;1885.737484;1819.318692;1996.838695;2146.061702;2185.127289;2259.111687;2356.352043;1867.603045;2503.413879;2486.201327;2436.4505;2849.644677;2759.794468;2734.572497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12_408.0476m/z;408.0475791;1;13.11596667;191.8956908;0.349566667;0;0;0;Infinity;Cocaine;Heroin;100 - 14.2;1042.736665;170.98;18.35788483;11.71640529;82.66684036;59.21195792;44.07416765;34.91049806;9.201332151;2672.989983;5762.517586;4559.15033;4538.371943;961.0869711;475.7522248;308.5162479;81.3331854;1.759295324;0.609457242;183.9216084;5.848726225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.275652833;0;0;0;1.254901076;0;0.196617599;0.203816195;0;0.238985894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.066034323;0;0.520506078;0.58790461;0.226877093;0;0;0;0;0;0;0.208783631;0;0;0;0;0.08629037;0.425958216
5.20_414.3413m/z;414.341285;1;5.200783333;191.7123807;0.183933333;0;0;0;Infinity;Heroin;Cocaine;100;1007.748846;65.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;607.3665435;586.7618079;2051.391322;955.9454584;1106.683629;707.5984076;1006.28099;2594.956121;978.2836185;2208.251165;548.7664085;589.6257669;368.7204936;1467.127062;448.2143233;333.9860845;726.6080364;852.9119943;0;0;0.012679351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.11_370.3416m/z;370.3415934;1;4.10715;183.6462988;0.167216667;0;0;0;Infinity;Heroin;Cocaine;100 - 4.6;935.5853907;73.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;614.2279471;530.7669812;1996.296192;753.8252047;1165.630027;683.8292712;1052.72538;2448.949535;901.7483274;2404.189794;626.9506766;682.7353328;229.1010715;1223.039663;195.4566665;207.8255728;502.8380326;620.4013564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.87_351.9848m/z;351.9848376;1;12.86671667;167.7836831;0.717416667;0;0;0;Infinity;Cocaine;Heroin;100 - 10.7;626.5801355;163.04;7.171380135;1.684801987;76.68286348;54.32956209;27.58373918;13.39397368;1.03369387;1185.595315;3173.621556;2556.251239;2576.425725;1051.927908;563.1375797;332.4930485;71.16973072;0;0;212.1854904;0.334967727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0957814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.131349256;0;0;0;0;0;0;0;0;0;0;0;0;0
9.28_456.1650m/z;456.1650057;1;9.275416667;202.0676703;0.183933333;0;0;0;Infinity;Heroin;Cocaine;100 - 19.2;536.0226403;108.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355.56621;313.3717187;1565.913627;120.6109277;337.4564393;373.1516683;171.6222906;1793.328746;396.7431203;1968.736791;357.0724765;378.6372915;205.617192;472.1068319;145.9842426;172.9645616;221.5608293;297.9625603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.097781121;0;0;0;0;0;0;0;0
12.16_654.3314m/z;654.3313972;1;12.15581667;285.4813904;0.125383333;0;0;0;Infinity;Cocaine;Heroin;100 - 30.4 - 2.3;471.6053579;68.27;729.1782398;822.294036;551.999145;533.7518533;651.4348885;633.6019208;799.3210372;0;0;0;0;301.0296392;449.9142561;523.5948592;0;828.5690583;877.6892426;544.7048222;713.418802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.19_826.2959n;849.2851319;1;5.192416667;286.1951557;0.11705;0;0;0;Infinity;Heroin;Cocaine;100 - 32.1 - 2.05;399.7386989;131.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.13877495;82.89471443;1224.879693;281.7663741;352.3888047;109.1111976;264.6634577;1883.147782;193.5959137;1163.754203;104.5668885;128.1342169;27.90875352;832.2928114;61.09589849;17.05253834;146.5385453;243.366012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.09_370.2778m/z;370.2777905;1;4.09045;183.6483526;0.11705;0;0;0;Infinity;Heroin;Cocaine;100;386.0871767;79.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235.6495711;217.6736289;866.7725379;285.2839337;457.8715894;265.0007748;422.0823972;1046.004963;370.4148871;1050.573393;259.203349;296.1395958;81.66549006;519.5301275;60.91254668;65.27159896;193.5179229;256.0008738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.65_604.3534m/z;604.3534119;1;3.6489;224.3887288;1.311033333;0;0;0;Infinity;Cocaine;Heroin;100 - 20 - 0.0647;383.1728524;63.79;492.0275832;606.8537934;428.843061;497.7957631;496.7526504;471.1347667;519.9299545;0;0;0;0;387.4861131;486.6709614;613.3783752;0;618.4213229;647.0139169;454.9361047;559.0398297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018029719;0;0;0;0.031140173;0;0;0.043603855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.034886977;0;0;0;0;0;0;0;0;0;0;0;0;4.8154927;0
4.63_441.1422n;442.1494711;1;4.6255;198.5792882;0.142133333;0;0;0;Infinity;Heroin;Cocaine;100 - 19.3 - 2.19;370.5074407;107.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115.5569204;110.2547368;1065.391349;205.2076894;276.508299;190.1124443;233.6509605;1473.480072;317.1293096;903.716157;150.0543773;155.0084021;65.22087256;677.3057998;114.4001862;53.68120832;253.4675574;308.9875905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015646947;0;0;0
3.94_648.3796m/z;648.379602;1;3.941516667;231.6633411;1.085283333;0;0;0;Infinity;Cocaine;Heroin;100 - 24.5 - 0.138;348.0843608;71.71;434.5439474;552.5300151;377.6109672;451.525381;456.4146177;449.1127814;494.7810684;0;0;0;0;182.2151432;311.2230032;474.0515589;0;707.7711245;789.3870367;381.1997551;551.2364558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.129179689;0.477447912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.042876092;0;0;0.256941567;0;0;0;0;0;0;0;0;0;0;0.019681874;0;8.591481581;0.035588217
4.11_370.7218m/z;370.7218443;1;4.10715;181.7738111;0.142083333;0;0;0;Infinity;Heroin;Cocaine;100 - 5.2;279.358806;76.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181.6246082;160.2270245;581.7429426;221.9456405;346.3073279;196.8921749;312.6656906;760.8915953;269.1996232;741.9113846;189.9850438;200.6955223;66.13692229;354.343119;55.14265052;53.91182901;147.2226731;187.6127355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8.90_441.1420n;442.1492542;1;8.9008;192.8392883;0.167466667;0;0;0;Infinity;Heroin;Cocaine;100 - 17.6 - 1.42;256.0905868;102.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123.2049058;112.0730529;735.5900125;115.9075719;198.9380144;142.5048755;136.8836657;817.6968536;173.8237708;848.5413863;144.9670635;151.940402;61.93249083;402.5667621;93.94324258;54.77079828;130.8580866;163.4876068;0;0.028558065;0;0.028938283;0.014162134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008393252;0;0;0;0;0;0;0;0;0.016561055;0;0;0
3.39_560.3270m/z;560.3269518;1;3.389733333;215.2824736;1.0435;0;0;0;Infinity;Cocaine;Heroin;100 - 14.9;252.0295012;63.35;315.674369;415.7965746;289.7770042;328.3089777;321.2509655;320.0683896;340.8167182;0;0;0;0;279.8406218;319.5411237;415.8957595;0;384.8884255;400.4817016;293.957616;362.262275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.034762636;0;0;0;0.025170742;0.029552883;0.116031956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01874729;0.010676951;0;0;0;0;0;0;0;0;0;0
0.99_285.1365n;286.1437397;1;0.986133333;161.2695328;0.09875;0;0;0;Infinity;Heroin;Cocaine;100 - 14;242.1118465;89.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165.7415533;226.2439676;168.1005685;799.9962763;124.4625131;36.88364232;116.7065499;629.9468137;257.8062482;288.9569364;74.96197597;73.36627381;294.0860919;522.7463112;283.3691249;273.8043714;8.266801724;12.56721664;0.008909548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011957858;0;0;0;0;0;0.132385235;0.081701789;0;0
7.43_456.1650m/z;456.1649979;1;7.430116667;202.0676705;0.20065;0;0;0;Infinity;Heroin;Cocaine;100 - 19.1 - 1.34;216.6102654;92.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200.0950364;194.3873161;288.7557131;87.25986447;215.1178312;142.1147688;105.430434;695.4683588;204.0045883;725.0805985;191.7622808;205.7113483;75.9858505;357.2904;64.89574998;69.60942854;30.39598776;45.61922142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024399079;0;0;0;0;0;0;0;0;0
4.16_692.4058m/z;692.40576;1;4.157333333;241.1818632;0.7676;0;0;0;Infinity;Cocaine;Heroin;100 - 24.4 - 1.07;213.9651245;92.97;312.3021806;399.2113672;189.8535363;249.3806781;276.437294;284.9131959;367.2593201;0;0;0;0;34.6809092;69.57514108;140.979502;0;577.7647077;628.8894872;131.7458213;402.3442241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.025733997;3.290129185;2.451045278;0.608826738;0.436466994;0.241491198;0;0.133353502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.442622095;0.340534354;0.106933114;3.5614988;0.150915324;0;0;0.037062677;0;0.864667149;0;0;0;0;0.0584386;0;4.279714035;0
6.63_424.1384m/z;424.1384428;1;6.6291;195.2422146;0.7509;0;0;0;Infinity;Heroin;Cocaine;100 - 17.8 - 0.0669;212.3880936;169.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.77105382;26.39878062;712.6808178;3.891197416;51.18965448;64.86495015;24.02480416;852.1755376;28.82232759;1293.755559;147.5463357;161.2897441;32.60220253;60.80359125;48.64468846;27.13700282;98.56128841;134.8261485;0.028111302;0.027055323;0;0.037344071;0.00882016;0.027510021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.019808328;0.016165266;0.035920467;0;0;0;0;0;0.027101178;0.033563695;0;0
4.46_304.3140m/z;304.3139592;1;4.4583;165.8796598;0.234083333;0;0;0;Infinity;NPS;Heroin;100;189.9393596;67.92;94.85868757;107.8255624;66.1176182;115.6193871;246.9491552;108.9172465;154.4763509;48.12096673;54.92856132;99.47358363;63.56070005;57.08262825;133.6420474;151.9432224;366.2873993;82.83151456;82.12578811;67.77838629;280.0425105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001627296;0.007738018;0;0.009895658;0;0.004945646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00498328;0;573.0390408;0.004981539;0;0;0.319709202;0;0;0;0.012410595;0;2845.527348
4.09_370.6529m/z;370.652899;1;4.09045;183.6362851;0.1254;0;0;0;Infinity;Heroin;Cocaine;100 - 15.9;177.3071548;77.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115.7352092;106.0345644;367.7613273;140.6119734;219.7689959;117.7484884;198.8530198;479.4084534;177.2412245;475.1093221;117.0303432;134.7050055;32.07118207;246.1654485;27.63375266;33.56289442;90.3505095;111.737072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9.28_515.1791n;516.1863933;1;9.275416667;210.3432138;0.14215;0;0;0;Infinity;Heroin;Blank;100 - 20 - 1.23;173.2695632;115.43;0;0;0;0;0;0;0;0.000682004;0;0;0;0;0;0;0;0;0;0;0;113.277551;100.610717;524.4049377;30.33568303;102.5724147;111.5705814;44.11796215;614.0237643;124.0830822;657.2650131;124.466264;129.3535172;60.77133466;147.6918624;40.99264323;50.58192545;63.60198972;79.13089503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.19_414.6708m/z;414.670824;1;5.192416667;191.7028813;0.1087;0;0;0;Infinity;Heroin;Cocaine;100;171.4105877;64.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103.9397835;98.65354412;336.9477225;166.6695696;193.2260921;116.9415288;181.7564561;454.2164292;177.4138013;356.0746035;98.68389774;108.5972555;57.262478;237.3923212;75.88215958;55.55971433;123.0130763;143.160145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.11_370.4641m/z;370.4640505;1;4.10715;181.7820377;0.142083333;0;0;0;Infinity;Heroin;Cocaine;100 - 84.2;161.9356163;64.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110.6483406;113.2583904;298.5446397;123.7160521;192.3846821;123.5544902;223.756091;354.7245288;155.2850131;412.1501349;111.5055279;131.73316;34.40883941;217.5975569;43.09268056;43.36414495;103.8615212;121.2552992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.07_328.3213m/z;328.3213424;1;2.070116667;172.1929955;0.1505;0;0;0;Infinity;Heroin;Cocaine;100 - 7.43;153.6405406;60.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154.3833848;216.5329028;164.1188985;288.7984672;141.7042707;92.67236495;107.7871629;324.5689635;214.8861324;241.1709041;99.12086192;96.26132479;99.33491746;305.2810549;88.00672314;88.33527289;17.24159707;25.32452645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.09_370.3956m/z;370.3956212;1;4.09045;183.6445601;0.1254;0;0;0;Infinity;Heroin;Cocaine;100 - 10.9;145.9878419;78.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91.27699869;79.03729452;326.5500779;120.02111;190.1739728;107.0544977;164.9315875;438.652229;153.9442909;343.0658421;107.0146273;110.1125205;38.60559387;165.2423998;16.07963653;27.28627204;59.26403631;89.46816612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.19_415.3471m/z;415.3470816;1;5.192416667;191.6834177;0.150483333;0;0;0;Infinity;Heroin;Cocaine;100 - 1.71;144.8773508;66.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85.17104655;85.11100286;295.7730481;137.1889326;158.6108521;97.01910003;149.5124193;387.5423477;140.5033359;310.1510642;80.7125205;88.87047276;47.64296037;212.879673;58.76745456;45.33451717;103.1340613;123.8675054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.54_191.1427m/z;191.1427167;1;12.54041667;141.9869938;0.226;0;0;0;Infinity;Heroin;Cocaine;100 - 21.7;143.2124011;22.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153.1110813;154.3297347;149.8748953;132.9849247;157.0930233;151.1444034;171.9143727;184.5531111;190.7263309;192.5988207;73.67247783;99.15533003;110.9374672;124.0974067;115.6393302;134.1908575;142.3877345;139.4119179;0.64449224;0.420935758;0.432257405;0;0.510303843;0;0;0;0;0;0;0.142440729;0.084098252;0;0.205856323;0;0.134968503;96.07923753;112.7250567;126.797709;124.544923;136.9366249;139.571633;155.1060751;153.5337584;172.9778402;141.3683044;137.7040428;143.8009107;160.4483502;177.9387282;185.9029777;169.2925399;0.120948765;0;0;0;0.049320285;0;0.41666147;0.346996268;0.253542659;0;0;0.843605053;0;0;0.269588476;0;0;0
5.19_414.3989m/z;414.398872;1;5.192416667;191.7107199;0.133766667;0;0;0;Infinity;Heroin;Cocaine;100;137.263011;70.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.53355405;84.87977312;258.4347095;134.0684834;155.8367901;93.46506745;147.5953724;396.2669295;131.2030799;294.7583793;76.21178098;78.8685727;54.46710289;199.2306819;18.22541879;35.09372947;100.3850946;116.2096777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.86_384.1801m/z;384.1800973;1;5.86125;194.5342833;0.224416667;0;0;0;Infinity;Heroin;Cocaine;100 - 17.7 - 0.669;136.8075008;165.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.72366493;7.738228943;514.0773811;6.745042857;45.34388211;45.20175735;30.96628652;444.3734643;15.30759675;836.379702;83.53571346;98.48351673;16.74792083;83.6536546;21.66942622;14.74078349;84.5457188;98.30127351;0;0;4.57E-05;0.011645201;0.02317091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012756515;0.006833885;0.011002899;0;0;0;0;0;0;0.000642091;0;0
5.78_442.1494m/z;442.1494135;1;5.77765;190.9429728;0.142133333;0;0;0;Infinity;Heroin;Cocaine;100 - 18.6 - 0.868;135.5909843;108.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.97794395;30.88154611;320.029161;55.69988125;126.4991;74.0084489;88.01150153;300.1293117;56.94632517;603.6207834;105.2593097;106.4916417;35.09434792;232.3247764;45.52598099;26.70147656;90.48343531;112.9527463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.63_368.1488m/z;368.1487643;1;5.627166667;185.586655;0.192283333;0;0;0;Infinity;Heroin;Cocaine;100 - 14.8;133.7699224;153.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.06006887;14.08197724;527.7242998;5.454301548;51.37274932;45.97276803;34.10822801;530.6934565;22.98928187;682.7481925;75.24362057;86.20176484;14.91838174;86.35730014;27.09226963;13.70988017;74.76283987;89.36722307;0;0.025495727;0.015191849;0.028699836;0.036541087;0.068111029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.035979677;0.030355514;0.02823547;0.029340734;0;0;0;0;0;0.020353182;0.013522496;0;0
10.29_395.1728n;396.180104;1;10.2857;180.9966897;0.175616667;0;0;0;Infinity;Heroin;Cocaine;100 - 17.1 - 0.917;130.4092081;122.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103.0254968;91.9298305;293.2639051;22.40407328;107.5662285;52.08758357;62.71347248;517.378382;82.52530513;551.7341191;90.65113608;92.12024505;19.62168669;114.333707;31.98126184;14.93966925;41.26124138;57.82840152;0;0.018254762;0.04637531;0.119272882;0.027278286;0.040170141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012336796;0.028021033;0;0;0;0;0;0;0;0;0;0;0
7.91_411.1671n;412.175026;1;7.906666667;186.119446;0.190733333;0;0;0;Infinity;Heroin;Cocaine;100 - 18.1 - 0.0571;129.0852397;103.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85.83945986;76.00359775;232.781364;61.92295404;129.7009903;82.19874458;89.14922166;512.0011398;103.6052585;406.980163;88.95514677;97.3687857;27.32602407;205.5149609;33.29993547;21.29253879;27.41183003;42.18219948;0;0;0.023799347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003077251;0;0;0;0;0;0;0;0;0.035982264;0.015052095;0;0
7.43_473.1684n;474.1756676;1;7.430116667;201.5991884;0.150483333;0;0;0;Infinity;Heroin;Cocaine;100 - 18.6 - 0.777;122.9479289;94.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112.8083964;114.0663506;159.1207966;45.51652394;121.4204738;75.5698257;54.47597544;400.7133155;114.6059511;420.6100208;112.3374213;120.5576951;43.98596176;207.6933678;34.63467598;35.33668852;15.62158772;23.98769265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020768406;0;0
2.07_330.1597m/z;330.1597227;1;2.070116667;172.1273147;0.133783333;0;0;0;Infinity;Heroin;Cocaine;100 - 4.21;121.4587372;58.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127.1002476;170.5716911;134.3339388;216.173375;105.1254806;74.59839164;85.11255076;259.0270927;155.7372966;194.9177115;81.46920915;78.92815924;81.84568941;237.4760343;72.75035045;72.32753782;15.39536565;23.36714676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020393965;0;0;0;0;0;0;0;0;0;0;0
